time_s,Ecell_V,I_mA,QDischarge_mA_h,soc,Temperature__C
449320.1209999998,4.172638461538465,0.0,0.0,1.0,24.937
449321.1202799617,4.171207957813998,-15.185608820709493,0.007200383509108343,0.9999983956178218,24.937
449322.12,4.170758823529412,-20.56058823529412,0.01,0.999997771810104,24.937
449323.12070783135,4.167727108433735,-72.08954819277109,0.031234939759036146,0.9999930402622825,24.957527108433737
449324.1202931206,4.153352043868395,-317.36817547357924,0.11775672981056828,0.9999737615644442,24.966
449325.1207074148,4.132266132264529,-661.0692985971945,0.2985571142284569,0.9999334758054674,24.966
449326.1202934132,4.110184431137725,-1016.4920958083832,0.5790419161676648,0.9998709784652993,24.78440718562874
449327.1207074148,4.088632064128257,-1380.8334669338678,0.9671142284569139,0.9997845085847803,24.709
449328.120292,4.0864356,-1346.6292,1.3378,0.9997019127557032,25.082116
449329.12,4.105075024975025,-918.5617582417582,1.5885314685314686,0.9996460450232222,25.236
449330.12,4.1053835,-925.8456900000001,1.8550300000000002,0.9995866640897086,25.236
449331.12,4.105996996996997,-908.071091091091,2.102772772772773,0.9995314622953969,24.733527527527528
449332.12070800003,4.1103736,-812.3836799999999,2.3257600000000003,0.9994817765067308,24.526
449333.1202934132,4.107996407185628,-862.4902994011976,2.566646706586826,0.9994281023741591,24.526
449334.12,4.091856513026052,-1186.3662925851704,2.8946693386773545,0.9993550127027084,25.057975951903806
449335.1207072927,4.072998001998002,-1548.8697302697303,3.3253546453546456,0.9992590478378358,25.278
449336.1202922923,4.078032532532532,-1364.3722722722723,3.7076976976976974,0.9991738545452293,25.278
449337.12000000005,4.098104204204204,-917.315015015015,3.9588288288288296,0.9991178977603318,24.659297297297297
449338.1207082917,4.115153546453547,-608.5805994005995,4.119160839160839,0.9990821727437877,24.405
449339.120292,4.1267924,-421.0372,4.2307999999999995,0.999057297418769,24.405
449340.12,4.1344681318681324,-308.3107692307692,4.323656343656343,0.9990366072620969,25.108756243756243
449341.120707,4.1373191,-286.73594,4.406560000000001,0.9990181347531556,25.4
449342.121,4.162445,158.92501,4.36637,0.999027089848348,25.4
449343.1202922923,4.159536636636636,24.161951951951934,4.361231231231232,0.9990282348636128,24.730508508508507
449344.12070800003,4.156224,-51.87108,4.37708,0.9990247034569693,24.454
449345.121,4.1604984,18.952999999999996,4.37292,0.999025630383966,25.140052
449346.121,4.1600610389610395,-4.031458541458543,4.377072927072926,0.9990247050329517,25.423
449347.120293,4.164956,75.52836,4.35172,0.9990303541465457,25.423
449348.12070629373,4.162991608391608,18.18608391608392,4.347062937062937,0.999031391828604,24.770384615384614
449349.12029329326,4.166217617617618,73.07314314314313,4.328798798798799,0.999035461425438,24.499
449350.12,4.187337337337338,430.3050650650651,4.2138438438438435,0.9990610755723515,24.499
449351.12,4.197746253746254,547.8858341658341,4.063906093906094,0.9990944845502965,25.09524775224775
449352.1207077077,4.183867367367367,231.83816816816815,3.9916916916916922,0.999110575290433,25.342
449353.1202927073,4.1632712287712295,-112.27817182817185,4.0153646353646355,0.9991053005090429,25.342
449354.12,4.146542842842843,-337.36126126126123,4.114924924924925,0.999083116585918,24.794234234234235
449355.12,4.1295684,-592.77864,4.2774399999999995,0.9990469051410937,24.568
449356.1207072927,4.12630969030969,-593.9442557442558,4.443166833166833,0.9990099780555767,24.568
449357.1202922923,4.145146546546546,-218.6904104104104,4.497077077077077,0.9989979658294992,25.08958058058058
449358.12,4.149137724550899,-215.32323353293415,4.549461077844311,0.9989862936793765,25.305
449359.12,4.1430310621242485,-328.8402204408818,4.6407414829659315,0.9989659546717364,25.305
449360.12,4.153253293413173,-112.81610778443113,4.67,0.9989594353185335,24.87044910179641
449361.12,4.152222322322322,-157.06400400400398,4.712402402402402,0.9989499872580732,24.69
449362.1207084168,4.149133266533067,-215.6144589178357,4.772505010020041,0.9989365952557712,24.96132364729459
449363.12029241514,4.127884730538923,-610.3378243512975,4.938592814371257,0.9988995877390194,25.073
449364.12,4.123092392392392,-639.2321521521521,5.12031031031031,0.9988590976301803,25.073
449365.12,4.123216167664671,-517.5269461077844,5.297185628742515,0.9988196864504408,24.897766467065868
449366.1207067067,4.130161761761762,-417.7297697697698,5.42067067067067,0.9987921716381667,24.825
449367.1202937063,4.1312517482517475,-446.533076923077,5.54888111888112,0.9987636039156395,24.825
449368.12,4.127071815446339,-529.0703610832497,5.68913741223671,0.9987323521500677,24.850492477432297
449369.12,4.133554191616766,-392.0839820359281,5.800758483033932,0.9987074808558538,24.861
449370.12,4.14324014014014,-217.56257257257255,5.858308308308308,0.9986946576619342,24.861
449371.1207087087,4.158160660660661,30.300570570570574,5.8487387387387395,0.9986967899437567,24.97226726726727
449372.121,4.175736763236763,298.6191408591409,5.762087912087913,0.9987160973933995,25.018
449373.12029270735,4.170361338661339,140.9739060939061,5.722927072927074,0.9987248231720136,25.018
449374.12,4.167624475524476,87.9737062937063,5.698811188811189,0.9987301966489459,24.722062937062937
449375.12,4.164417,18.121800000000007,5.69,0.998732159949134,24.599
449376.12,4.1648515030060125,28.411122244488983,5.682925851703407,0.9987337362037098,24.599
449377.12070800003,4.1683196,90.03387999999998,5.658760000000001,0.9987391208143692,25.042208000000002
449378.1202934132,4.167774850299401,64.91760479041916,5.642934131736527,0.9987426471183454,25.225
449379.12,4.182506206206206,321.6106106106106,5.555195195195195,0.9987621970195347,24.653980980980982
449380.12070841686,4.1964800601202406,548.1932865731462,5.406653306613227,0.9987952949730631,24.417
449381.1202938247,4.199953087649402,587.9801992031872,5.275258964143426,0.9988245721276923,24.417
